Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
512;1.3088000006973743e-02;1.2864000163972378e-02;1.2831999920308590e-02;1.2864000163972378e-02;1.1327999643981457e-02;1.0719999670982361e-02
1024;2.2431999444961548e-02;1.7920000478625298e-02;2.2399999201297760e-02;1.8464000895619392e-02;2.0191999152302742e-02;1.3759999535977840e-02
1536;3.3151999115943909e-02;2.5952000170946121e-02;3.3183999359607697e-02;2.6591999456286430e-02;3.2127998769283295e-02;2.2528000175952911e-02
2048;4.8160001635551453e-02;3.0047999694943428e-02;4.8191998153924942e-02;3.0559999868273735e-02;4.7743998467922211e-02;2.9376000165939331e-02
2560;6.9215998053550720e-02;4.1471999138593674e-02;6.9279998540878296e-02;4.2015999555587769e-02;6.9920003414154053e-02;4.0959998965263367e-02
3072;9.5104001462459564e-02;5.5808000266551971e-02;9.5264002680778503e-02;5.7631999254226685e-02;9.5392003655433655e-02;5.4303999990224838e-02
3584;1.2604799866676331e-01;7.2319999337196350e-02;1.2547199428081512e-01;7.3472000658512115e-02;1.3187199831008911e-01;7.2383999824523926e-02
4096;1.6121600568294525e-01;8.5791997611522675e-02;1.6115200519561768e-01;8.6240001022815704e-02;1.6083200275897980e-01;8.6047999560832977e-02
4608;2.0156799256801605e-01;1.0595200210809708e-01;2.0160000026226044e-01;1.0688000172376633e-01;2.0220799744129181e-01;1.0963200032711029e-01
5120;2.4617600440979004e-01;1.2899200618267059e-01;2.4630400538444519e-01;1.2975999712944031e-01;2.4624000489711761e-01;1.3158400356769562e-01
5632;2.9488000273704529e-01;1.5391999483108521e-01;2.9484799504280090e-01;1.5443199872970581e-01;3.0707201361656189e-01;1.6982400417327881e-01
6144;3.4806400537490845e-01;1.7865599691867828e-01;3.4819200634956360e-01;1.7951999604701996e-01;3.9552000164985657e-01;1.8495999276638031e-01
6656;4.0787199139595032e-01;2.0848000049591064e-01;4.0748798847198486e-01;2.0886400341987610e-01;4.4729599356651306e-01;2.4134400486946106e-01
7168;4.7071999311447144e-01;2.4268800020217896e-01;4.7059199213981628e-01;2.4326400458812714e-01;4.9171200394630432e-01;2.8105598688125610e-01
7680;5.3750401735305786e-01;2.7401599287986755e-01;5.3718400001525879e-01;2.7452799677848816e-01;5.4879999160766602e-01;3.0131199955940247e-01
8192;6.1020797491073608e-01;3.0950400233268738e-01;6.1023998260498047e-01;3.1014400720596313e-01;6.1478400230407715e-01;3.2051199674606323e-01
8704;6.8844801187515259e-01;3.4825599193572998e-01;6.8844801187515259e-01;3.4787198901176453e-01;6.9718402624130249e-01;3.6867201328277588e-01
9216;7.6979202032089233e-01;3.8982400298118591e-01;7.6880002021789551e-01;3.9068800210952759e-01;7.8083199262619019e-01;4.1123199462890625e-01
9728;8.5593599081039429e-01;4.3286401033401489e-01;8.5555201768875122e-01;4.3318399786949158e-01;8.7113600969314575e-01;4.5491200685501099e-01
10240;9.4569599628448486e-01;4.7900798916816711e-01;9.4559997320175171e-01;4.7839999198913574e-01;9.5366400480270386e-01;4.9660798907279968e-01
10752;1.0425599813461304e+00;5.2681601047515869e-01;1.0428479909896851e+00;5.2700799703598022e-01;1.0534720420837402e+00;5.4912000894546509e-01
11264;1.1444159746170044e+00;5.7737600803375244e-01;1.1441919803619385e+00;5.7788801193237305e-01;1.1657279729843140e+00;6.1052799224853516e-01
11776;1.2486079931259155e+00;6.3007998466491699e-01;1.2479039430618286e+00;6.3017600774765015e-01;1.3415039777755737e+00;6.4726400375366211e-01
12288;1.3575999736785889e+00;6.8499201536178589e-01;1.3573759794235229e+00;6.8457597494125366e-01;1.4388159513473511e+00;7.0131200551986694e-01
12800;1.4723199605941772e+00;7.4179202318191528e-01;1.4724479913711548e+00;7.4179202318191528e-01;1.5172799825668335e+00;7.8220802545547485e-01
13312;1.5935360193252563e+00;8.0249601602554321e-01;1.5934400558471680e+00;8.0207997560501099e-01;1.6320960521697998e+00;8.7414401769638062e-01
13824;1.7160320281982422e+00;8.6457598209381104e-01;1.7159680128097534e+00;8.6387199163436890e-01;1.7404160499572754e+00;9.2310398817062378e-01
14336;1.8439359664916992e+00;9.2966401576995850e-01;1.8434239625930786e+00;9.2825597524642944e-01;1.8753279447555542e+00;9.8335999250411987e-01
14848;1.9773759841918945e+00;9.9596798419952393e-01;1.9770239591598511e+00;9.9484801292419434e-01;1.9998719692230225e+00;1.0421439409255981e+00
15360;2.1155200004577637e+00;1.0647679567337036e+00;2.1152000427246094e+00;1.0638400316238403e+00;2.1336319446563721e+00;1.1060800552368164e+00
15872;2.2599999904632568e+00;1.1463680267333984e+00;2.2600319385528564e+00;1.1479359865188599e+00;2.2920000553131104e+00;1.1997439861297607e+00
16384;2.4050559997558594e+00;1.2115199565887451e+00;2.4050240516662598e+00;1.2078080177307129e+00;2.4203839302062988e+00;1.2325439453125000e+00
16896;2.5585598945617676e+00;1.2885760068893433e+00;2.5587520599365234e+00;1.2884479761123657e+00;2.6113920211791992e+00;1.3358399868011475e+00
17408;2.7139520645141602e+00;1.3648320436477661e+00;2.7137920856475830e+00;1.3631039857864380e+00;2.8080000877380371e+00;1.4069759845733643e+00
17920;2.8762879371643066e+00;1.4471999406814575e+00;2.8760960102081299e+00;1.4493119716644287e+00;3.0051519870758057e+00;1.4878400564193726e+00
18432;3.0409278869628906e+00;1.5286719799041748e+00;3.0420160293579102e+00;1.5266560316085815e+00;3.1128320693969727e+00;1.5741759538650513e+00
18944;3.2288959026336670e+00;1.6681280136108398e+00;3.2291839122772217e+00;1.6831040382385254e+00;3.2851200103759766e+00;1.7020800113677979e+00
19456;3.3879039287567139e+00;1.7028160095214844e+00;3.3887040615081787e+00;1.7047040462493896e+00;3.4420480728149414e+00;1.8107839822769165e+00
19968;3.5685119628906250e+00;1.7897280454635620e+00;3.5683200359344482e+00;1.7893760204315186e+00;3.6102080345153809e+00;1.8724160194396973e+00
20480;3.7526080608367920e+00;1.8814079761505127e+00;3.7535359859466553e+00;1.8805439472198486e+00;3.7904961109161377e+00;1.9449280500411987e+00
20992;3.9419519901275635e+00;1.9764159917831421e+00;3.9416639804840088e+00;1.9775040149688721e+00;3.9752318859100342e+00;2.0423679351806641e+00
21504;4.1572160720825195e+00;2.0738561153411865e+00;4.1561279296875000e+00;2.0761919021606445e+00;4.2259202003479004e+00;2.1468799114227295e+00
22016;4.3745598793029785e+00;2.1748800277709961e+00;4.3727359771728516e+00;2.1783680915832520e+00;4.4047999382019043e+00;2.2274880409240723e+00
22528;4.5602560043334961e+00;2.2858240604400635e+00;4.5613441467285156e+00;2.2897920608520508e+00;4.6555199623107910e+00;2.3611519336700439e+00
23040;4.7475199699401855e+00;2.3800640106201172e+00;4.7480640411376953e+00;2.3823039531707764e+00;4.8394560813903809e+00;2.4446399211883545e+00
23552;4.9616641998291016e+00;2.4849600791931152e+00;4.9608960151672363e+00;2.4863679409027100e+00;5.1099200248718262e+00;2.5623679161071777e+00
24064;5.1788158416748047e+00;2.5949759483337402e+00;5.1784000396728516e+00;2.5978560447692871e+00;5.2971200942993164e+00;2.6777598857879639e+00
24576;5.3973441123962402e+00;2.7068479061126709e+00;5.3982400894165039e+00;2.7081921100616455e+00;5.4606719017028809e+00;2.7828159332275391e+00
