Num rows;TRSV multi-kernel fp64;TRSV single kernel fp64;TRSV fp64;CUBLAS TRSV fp64
50;+3.6543998867273331e-02;+2.3967999964952469e-02;+6.3008002936840057e-02;+2.7071999385952950e-02
100;+6.0159999877214432e-02;+3.3023998141288757e-02;+6.6624000668525696e-02;+3.2480001449584961e-02
150;+7.2448000311851501e-02;+3.7919998168945312e-02;+6.8672001361846924e-02;+3.5424001514911652e-02
200;+9.9808000028133392e-02;+4.8000000417232513e-02;+7.2959996759891510e-02;+4.0192000567913055e-02
250;+1.1548800021409988e-01;+5.3056001663208008e-02;+7.4303999543190002e-02;+4.3616000562906265e-02
300;+1.4393599331378937e-01;+6.2527999281883240e-02;+7.8368000686168671e-02;+4.9536000937223434e-02
350;+1.5843200683593750e-01;+6.7039996385574341e-02;+8.0480001866817474e-02;+5.2032001316547394e-02
400;+1.8697600066661835e-01;+7.6736003160476685e-02;+8.4224000573158264e-02;+5.7248000055551529e-02
450;+2.1606400609016418e-01;+8.6144000291824341e-02;+8.8256001472473145e-02;+6.2880001962184906e-02
500;+2.3039999604225159e-01;+9.1328002512454987e-02;+8.9567996561527252e-02;+6.6431999206542969e-02
550;+2.5942400097846985e-01;+1.0016000270843506e-01;+9.3695998191833496e-02;+7.4175998568534851e-02
600;+2.7705600857734680e-01;+1.0569600015878677e-01;+9.5615997910499573e-02;+7.5231999158859253e-02
650;+3.0614399909973145e-01;+1.1542399972677231e-01;+9.9551998078823090e-02;+8.1983998417854309e-02
700;+3.2032001018524170e-01;+1.2035199999809265e-01;+1.0166399925947189e-01;+8.4160000085830688e-02
750;+3.5046398639678955e-01;+1.2972800433635712e-01;+1.0598400235176086e-01;+9.1647997498512268e-02
800;+3.6076799035072327e-01;+1.3497599959373474e-01;+1.0719999670982361e-01;+9.2160001397132874e-02
850;+3.9366400241851807e-01;+1.3814400136470795e-01;+1.0598400235176086e-01;+9.5968000590801239e-02
900;+4.0300801396369934e-01;+1.4700800180435181e-01;+1.0966400057077408e-01;+1.0147199779748917e-01
950;+4.1660800576210022e-01;+1.5065599977970123e-01;+1.1184000223875046e-01;+1.0451199859380722e-01
1000;+4.4425600767135620e-01;+1.5967999398708344e-01;+1.1529599875211716e-01;+1.0915199667215347e-01
1050;+4.5939201116561890e-01;+1.7321600019931793e-01;+1.1680000275373459e-01;+1.1318399757146835e-01
1100;+5.0256001949310303e-01;+2.1110400557518005e-01;+1.2332800030708313e-01;+1.2105599790811539e-01
1150;+5.2716797590255737e-01;+2.3628799617290497e-01;+1.3033600151538849e-01;+1.2515200674533844e-01
1200;+5.8643198013305664e-01;+2.7206400036811829e-01;+1.3785600662231445e-01;+1.3062399625778198e-01
1250;+6.0889601707458496e-01;+3.0441600084304810e-01;+1.4742399752140045e-01;+1.4064000546932220e-01
1300;+6.4636802673339844e-01;+3.2256001234054565e-01;+1.4979200065135956e-01;+1.4355200529098511e-01
1350;+6.7129600048065186e-01;+3.4992000460624695e-01;+1.5807999670505524e-01;+1.4979200065135956e-01
1400;+7.0771199464797974e-01;+3.7091198563575745e-01;+1.6054399311542511e-01;+1.5145599842071533e-01
1450;+7.4505597352981567e-01;+4.0003201365470886e-01;+1.6467200219631195e-01;+1.6003200411796570e-01
1500;+7.6710402965545654e-01;+4.1699200868606567e-01;+1.6879999637603760e-01;+1.6262400150299072e-01
1550;+8.0163198709487915e-01;+4.3916800618171692e-01;+1.7276799678802490e-01;+1.7004799842834473e-01
1600;+8.2076799869537354e-01;+4.5468801259994507e-01;+1.7545600235462189e-01;+1.6790400445461273e-01
1650;+8.5952001810073853e-01;+4.8313599824905396e-01;+1.8102400004863739e-01;+1.7903999984264374e-01
1700;+8.9286398887634277e-01;+5.0428801774978638e-01;+1.8531200289726257e-01;+1.8614399433135986e-01
1750;+9.1715198755264282e-01;+5.2291202545166016e-01;+1.8937599658966064e-01;+1.8886399269104004e-01
1800;+9.4771200418472290e-01;+5.4371201992034912e-01;+1.9388799369335175e-01;+1.9529600441455841e-01
1850;+9.7161602973937988e-01;+5.6217598915100098e-01;+1.9734400510787964e-01;+1.9920000433921814e-01
1900;+1.0012160539627075e+00;+5.8047997951507568e-01;+2.0092800259590149e-01;+2.0656000077724457e-01
1950;+1.0281920433044434e+00;+5.9728002548217773e-01;+2.0358400046825409e-01;+2.1004800498485565e-01
2000;+1.0595840215682983e+00;+6.1971199512481689e-01;+2.0963199436664581e-01;+2.1180799603462219e-01
2050;+1.0921280384063721e+00;+6.4047998189926147e-01;+2.1196800470352173e-01;+2.2271999716758728e-01
2100;+1.1181759834289551e+00;+6.6102397441864014e-01;+2.1734400093555450e-01;+2.2582399845123291e-01
2150;+1.1499199867248535e+00;+6.7980802059173584e-01;+2.2144000232219696e-01;+2.3820799589157104e-01
2200;+1.1745920181274414e+00;+6.9971197843551636e-01;+2.2636799514293671e-01;+2.3587200045585632e-01
2250;+1.2060480117797852e+00;+7.1913599967956543e-01;+2.3011200129985809e-01;+2.4649600684642792e-01
2300;+1.2222399711608887e+00;+7.3068797588348389e-01;+2.3196800053119659e-01;+2.4544000625610352e-01
2350;+1.2597440481185913e+00;+7.5520002841949463e-01;+2.3705600202083588e-01;+2.5449600815773010e-01
2400;+1.2812160253524780e+00;+7.6854401826858521e-01;+2.4016000330448151e-01;+2.5244799256324768e-01
2450;+1.3221440315246582e+00;+7.9529601335525513e-01;+2.4886399507522583e-01;+2.6704001426696777e-01
2500;+1.3535679578781128e+00;+8.1388801336288452e-01;+2.5228801369667053e-01;+2.7456000447273254e-01
2550;+1.3686079978942871e+00;+8.2377600669860840e-01;+2.5200000405311584e-01;+2.7551999688148499e-01
2600;+1.4040640592575073e+00;+8.4592002630233765e-01;+2.6086398959159851e-01;+2.8543999791145325e-01
2650;+1.4264960289001465e+00;+8.6479997634887695e-01;+2.6345598697662354e-01;+2.8745600581169128e-01
2700;+1.4623680114746094e+00;+8.8543999195098877e-01;+2.6915198564529419e-01;+2.9430401325225830e-01
2750;+1.4816960096359253e+00;+8.9798402786254883e-01;+2.7235201001167297e-01;+2.9939201474189758e-01
2800;+1.5196800231933594e+00;+9.2057597637176514e-01;+2.7913600206375122e-01;+3.0748799443244934e-01
2850;+1.5489280223846436e+00;+9.4204801321029663e-01;+2.8246399760246277e-01;+3.1929600238800049e-01
2900;+1.5712319612503052e+00;+9.5507198572158813e-01;+2.8614398837089539e-01;+3.2128000259399414e-01
2950;+1.6101119518280029e+00;+9.8105597496032715e-01;+2.9232001304626465e-01;+3.3177599310874939e-01
3000;+1.6352959871292114e+00;+9.9750399589538574e-01;+2.9619199037551880e-01;+3.3372798562049866e-01
3050;+1.6699839830398560e+00;+1.0149120092391968e+00;+3.0028799176216125e-01;+3.4422400593757629e-01
3100;+1.6907839775085449e+00;+1.0273280143737793e+00;+3.0579200387001038e-01;+3.4703999757766724e-01
3150;+1.7270720005035400e+00;+1.0527360439300537e+00;+3.1548801064491272e-01;+3.5590401291847229e-01
3200;+1.7395839691162109e+00;+1.0596159696578979e+00;+3.1238400936126709e-01;+3.4985598921775818e-01
3250;+1.7788800001144409e+00;+1.0830399990081787e+00;+3.1955200433731079e-01;+3.7187200784683228e-01
3300;+1.8167999982833862e+00;+1.1100800037384033e+00;+3.2435199618339539e-01;+3.7801599502563477e-01
3350;+1.8376640081405640e+00;+1.1238080263137817e+00;+3.2780799269676208e-01;+3.8665598630905151e-01
3400;+1.8773119449615479e+00;+1.1468479633331299e+00;+3.3497598767280579e-01;+3.9350399374961853e-01
3450;+1.8978879451751709e+00;+1.1586879491806030e+00;+3.3904001116752625e-01;+3.9827200770378113e-01
3500;+1.9328000545501709e+00;+1.1842880249023438e+00;+3.4512001276016235e-01;+4.0601599216461182e-01
3550;+1.9495040178298950e+00;+1.1934080123901367e+00;+3.4627199172973633e-01;+4.1315200924873352e-01
3600;+1.9876159429550171e+00;+1.2141760587692261e+00;+3.5497599840164185e-01;+4.1359999775886536e-01
3650;+2.0230400562286377e+00;+1.2369279861450195e+00;+3.6015999317169189e-01;+4.3171200156211853e-01
3700;+2.0402240753173828e+00;+1.2472319602966309e+00;+3.6019200086593628e-01;+4.3667200207710266e-01
3750;+2.0753920078277588e+00;+1.2704639434814453e+00;+3.6735999584197998e-01;+4.5241600275039673e-01
3800;+2.0958399772644043e+00;+1.2801599502563477e+00;+3.6950400471687317e-01;+4.4723200798034668e-01
3850;+2.1358718872070312e+00;+1.3050240278244019e+00;+3.7878400087356567e-01;+4.5871999859809875e-01
3900;+2.1592319011688232e+00;+1.3166400194168091e+00;+3.8470399379730225e-01;+4.6332800388336182e-01
3950;+2.1927680969238281e+00;+1.3401919603347778e+00;+3.8659200072288513e-01;+4.7676798701286316e-01
4000;+2.2062399387359619e+00;+1.3479360342025757e+00;+3.8825601339340210e-01;+4.6476799249649048e-01
4050;+2.2472000122070312e+00;+1.3727040290832520e+00;+3.9635199308395386e-01;+4.8569598793983459e-01
4100;+2.2776958942413330e+00;+1.3919999599456787e+00;+3.9750400185585022e-01;+4.9641600251197815e-01
4150;+2.3062400817871094e+00;+1.4104640483856201e+00;+4.0691199898719788e-01;+5.0540798902511597e-01
4200;+2.3425600528717041e+00;+1.4321279525756836e+00;+4.1372799873352051e-01;+5.1296001672744751e-01
4250;+2.3633599281311035e+00;+1.4478720426559448e+00;+4.1571199893951416e-01;+5.2016001939773560e-01
4300;+2.4009599685668945e+00;+1.4698560237884521e+00;+4.2275199294090271e-01;+5.2857601642608643e-01
4350;+2.4155199527740479e+00;+1.4796799421310425e+00;+4.2361599206924438e-01;+5.3478401899337769e-01
4400;+2.4564800262451172e+00;+1.5059520006179810e+00;+4.3456000089645386e-01;+5.3526401519775391e-01
4450;+2.4996800422668457e+00;+1.5297919511795044e+00;+4.4073599576950073e-01;+5.6067198514938354e-01
4500;+2.5131840705871582e+00;+1.5404479503631592e+00;+4.4323199987411499e-01;+5.6374400854110718e-01
4550;+2.5529921054840088e+00;+1.5668799877166748e+00;+4.5241600275039673e-01;+5.7366400957107544e-01
4600;+2.5654399394989014e+00;+1.5739200115203857e+00;+4.4972801208496094e-01;+5.7440000772476196e-01
4650;+2.6212799549102783e+00;+1.6045440435409546e+00;+4.6768000721931458e-01;+5.9267199039459229e-01
4700;+2.6218240261077881e+00;+1.6110399961471558e+00;+4.6243199706077576e-01;+5.8899199962615967e-01
4750;+2.6636159420013428e+00;+1.6312960386276245e+00;+4.7145599126815796e-01;+6.0652798414230347e-01
4800;+2.6765439510345459e+00;+1.6417920589447021e+00;+4.6892800927162170e-01;+5.9516799449920654e-01
4850;+2.7200639247894287e+00;+1.6683520078659058e+00;+4.7932800650596619e-01;+6.2342399358749390e-01
4900;+2.7672319412231445e+00;+1.6924159526824951e+00;+4.9212801456451416e-01;+6.3171201944351196e-01
4950;+2.7795200347900391e+00;+1.7035520076751709e+00;+4.8963201045989990e-01;+6.3539201021194458e-01
5000;+2.8188159465789795e+00;+1.7272959947586060e+00;+4.9875199794769287e-01;+6.4470398426055908e-01
5050;+2.8376638889312744e+00;+1.7376320362091064e+00;+5.0044798851013184e-01;+6.5507197380065918e-01
5100;+2.8693120479583740e+00;+1.7612799406051636e+00;+5.0396800041198730e-01;+6.6412800550460815e-01
5150;+2.9184639453887939e+00;+1.7910720109939575e+00;+5.2828800678253174e-01;+6.7545598745346069e-01
5200;+2.9358398914337158e+00;+1.8017280101776123e+00;+5.1990401744842529e-01;+6.7033600807189941e-01
5250;+2.9772160053253174e+00;+1.8296960592269897e+00;+5.2790397405624390e-01;+6.9670397043228149e-01
5300;+2.9982399940490723e+00;+1.8416960239410400e+00;+5.3369599580764771e-01;+7.0288002490997314e-01
5350;+3.0432000160217285e+00;+1.8660479784011841e+00;+5.4400002956390381e-01;+7.1638399362564087e-01
5400;+3.0465281009674072e+00;+1.8758720159530640e+00;+5.4079997539520264e-01;+7.1663999557495117e-01
5450;+3.0874879360198975e+00;+1.8958079814910889e+00;+5.4745602607727051e-01;+7.3295998573303223e-01
5500;+3.1053121089935303e+00;+1.9124799966812134e+00;+5.5027198791503906e-01;+7.3190397024154663e-01
5550;+3.1462719440460205e+00;+1.9345279932022095e+00;+5.6179201602935791e-01;+7.4924802780151367e-01
5600;+3.1732800006866455e+00;+1.9454400539398193e+00;+5.6480002403259277e-01;+7.3167997598648071e-01
5650;+3.2076480388641357e+00;+1.9678080081939697e+00;+5.7183998823165894e-01;+7.7603197097778320e-01
5700;+3.2383999824523926e+00;+1.9913599491119385e+00;+5.7564800977706909e-01;+7.8428798913955688e-01
5750;+3.2611520290374756e+00;+2.0048639774322510e+00;+5.7971197366714478e-01;+7.8240001201629639e-01
5800;+3.3052160739898682e+00;+2.0281920433044434e+00;+5.9235197305679321e-01;+7.9420799016952515e-01
5850;+3.3153600692749023e+00;+2.0416638851165771e+00;+5.9119999408721924e-01;+8.0377602577209473e-01
5900;+3.3696639537811279e+00;+2.0725440979003906e+00;+6.0889601707458496e-01;+8.3158397674560547e-01
5950;+3.3919680118560791e+00;+2.0853118896484375e+00;+6.1353600025177002e-01;+8.3324801921844482e-01
6000;+3.4183359146118164e+00;+2.1024959087371826e+00;+6.1545598506927490e-01;+8.2723200321197510e-01
6050;+3.4559679031372070e+00;+2.1268799304962158e+00;+6.2361598014831543e-01;+8.6115199327468872e-01
6100;+3.4767999649047852e+00;+2.1371839046478271e+00;+6.2844800949096680e-01;+8.6406397819519043e-01
6150;+3.5004160404205322e+00;+2.1559040546417236e+00;+6.2480002641677856e-01;+8.8540798425674438e-01
6200;+3.5479679107666016e+00;+2.1782400608062744e+00;+6.4240002632141113e-01;+8.7049597501754761e-01
6250;+3.5742080211639404e+00;+2.2001280784606934e+00;+6.4617598056793213e-01;+9.0153598785400391e-01
6300;+3.5977280139923096e+00;+2.2118079662322998e+00;+6.5206402540206909e-01;+9.0076798200607300e-01
6350;+3.6331520080566406e+00;+2.2334721088409424e+00;+6.5753597021102905e-01;+9.1468799114227295e-01
6400;+3.6372480392456055e+00;+2.2422080039978027e+00;+6.5135997533798218e-01;+8.8595199584960938e-01
6450;+3.6837120056152344e+00;+2.2694079875946045e+00;+6.5958398580551147e-01;+9.3791997432708740e-01
6500;+3.7377281188964844e+00;+2.2987198829650879e+00;+6.8454402685165405e-01;+9.5046401023864746e-01
6550;+3.7477440834045410e+00;+2.3067839145660400e+00;+6.8060797452926636e-01;+9.5468801259994507e-01
6600;+3.7960000038146973e+00;+2.3307199478149414e+00;+6.9388800859451294e-01;+9.5340800285339355e-01
6650;+3.8078401088714600e+00;+2.3452799320220947e+00;+6.9334399700164795e-01;+9.8272001743316650e-01
6700;+3.8626239299774170e+00;+2.3730878829956055e+00;+7.0860797166824341e-01;+9.8492801189422607e-01
6750;+3.8617599010467529e+00;+2.3792319297790527e+00;+6.9817602634429932e-01;+1.0051840543746948e+00
6800;+3.9035201072692871e+00;+2.4046399593353271e+00;+7.1337598562240601e-01;+9.8659199476242065e-01
6850;+3.9418880939483643e+00;+2.4285440444946289e+00;+7.2140800952911377e-01;+1.0256960391998291e+00
6900;+3.9591999053955078e+00;+2.4370241165161133e+00;+7.2153598070144653e-01;+1.0252159833908081e+00
6950;+4.0029439926147461e+00;+2.4642241001129150e+00;+7.3059201240539551e-01;+1.0409599542617798e+00
7000;+4.0248961448669434e+00;+2.4760320186614990e+00;+7.3507201671600342e-01;+1.0341119766235352e+00
7050;+4.0625600814819336e+00;+2.5013759136199951e+00;+7.4307197332382202e-01;+1.0730240345001221e+00
7100;+4.0940160751342773e+00;+2.5202240943908691e+00;+7.5536000728607178e-01;+1.0679039955139160e+00
7150;+4.1234879493713379e+00;+2.5385279655456543e+00;+7.5635200738906860e-01;+1.0980479717254639e+00
7200;+4.1299519538879395e+00;+2.5432960987091064e+00;+7.5366401672363281e-01;+1.0688639879226685e+00
7250;+4.1945919990539551e+00;+2.5880000591278076e+00;+7.7955198287963867e-01;+1.1106879711151123e+00
7300;+4.2280960083007812e+00;+2.6068799495697021e+00;+7.8310400247573853e-01;+1.1257280111312866e+00
7350;+4.2571840286254883e+00;+2.6224000453948975e+00;+7.9347199201583862e-01;+1.1292799711227417e+00
7400;+4.2799358367919922e+00;+2.6355199813842773e+00;+7.8892797231674194e-01;+1.1376320123672485e+00
7450;+4.3111357688903809e+00;+2.6550400257110596e+00;+7.9856002330780029e-01;+1.1644159555435181e+00
7500;+4.3554878234863281e+00;+2.6816000938415527e+00;+8.0649602413177490e-01;+1.1705600023269653e+00
7550;+4.3834562301635742e+00;+2.7026560306549072e+00;+8.1555199623107910e-01;+1.1828479766845703e+00
7600;+4.4094080924987793e+00;+2.7185280323028564e+00;+8.1769597530364990e-01;+1.1644159555435181e+00
7650;+4.4460802078247070e+00;+2.7423999309539795e+00;+8.2569599151611328e-01;+1.1896320581436157e+00
7700;+4.4720640182495117e+00;+2.7581439018249512e+00;+8.3276802301406860e-01;+1.2070399522781372e+00
7750;+4.5136318206787109e+00;+2.7842879295349121e+00;+8.3849602937698364e-01;+1.2397439479827881e+00
7800;+4.5309119224548340e+00;+2.7922561168670654e+00;+8.4188801050186157e-01;+1.2253760099411011e+00
7850;+4.5757761001586914e+00;+2.8192639350891113e+00;+8.5225600004196167e-01;+1.2613760232925415e+00
7900;+4.5869121551513672e+00;+2.8291840553283691e+00;+8.5033601522445679e-01;+1.2632000446319580e+00
7950;+4.6302719116210938e+00;+2.8578240871429443e+00;+8.6329597234725952e-01;+1.2797440290451050e+00
8000;+4.6325440406799316e+00;+2.8610239028930664e+00;+8.5587197542190552e-01;+1.2237440347671509e+00
8050;+4.6885762214660645e+00;+2.8938560485839844e+00;+8.7536001205444336e-01;+1.3128000497817993e+00
8100;+4.7441601753234863e+00;+2.9257919788360596e+00;+8.9168000221252441e-01;+1.3128000497817993e+00
8150;+4.7639040946960449e+00;+2.9313919544219971e+00;+8.9459198713302612e-01;+1.3334720134735107e+00
8200;+4.7708802223205566e+00;+2.9372160434722900e+00;+8.8019198179244995e-01;+1.3298239707946777e+00
