Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
100;+1.0656000114977360e-02;+1.0623999871313572e-02;+1.0143999941647053e-02;+1.0015999898314476e-02;+9.7599998116493225e-03;+1.2703999876976013e-02;+1.3120000250637531e-02
200;+1.0944000445306301e-02;+1.0912000201642513e-02;+1.1040000244975090e-02;+1.0912000201642513e-02;+1.0784000158309937e-02;+1.3567999936640263e-02;+1.3695999979972839e-02
300;+1.1199999600648880e-02;+1.0879999957978725e-02;+1.1103999800980091e-02;+1.1103999800980091e-02;+1.1040000244975090e-02;+1.3439999893307686e-02;+1.3600000180304050e-02
400;+1.2512000277638435e-02;+1.2160000391304493e-02;+1.2671999633312225e-02;+1.2480000033974648e-02;+1.2160000391304493e-02;+1.4240000396966934e-02;+1.3984000310301781e-02
500;+1.3248000293970108e-02;+1.3024000450968742e-02;+1.3216000050306320e-02;+1.2351999990642071e-02;+1.2223999947309494e-02;+1.3728000223636627e-02;+1.3248000293970108e-02
600;+1.3439999893307686e-02;+1.2575999833643436e-02;+1.2831999920308590e-02;+1.3407999649643898e-02;+1.3472000136971474e-02;+1.4592000283300877e-02;+1.3376000337302685e-02
700;+1.4783999882638454e-02;+1.4143999665975571e-02;+1.5680000185966492e-02;+1.5039999969303608e-02;+1.4783999882638454e-02;+1.7087999731302261e-02;+1.5584000386297703e-02
800;+1.6416000202298164e-02;+1.5424000099301338e-02;+1.6704000532627106e-02;+1.5936000272631645e-02;+1.5776000916957855e-02;+1.7184000462293625e-02;+1.5839999541640282e-02
900;+1.7888000234961510e-02;+1.6640000045299530e-02;+1.7888000234961510e-02;+1.6799999400973320e-02;+1.6575999557971954e-02;+1.9487999379634857e-02;+1.6287999227643013e-02
1000;+2.1247999742627144e-02;+1.7599999904632568e-02;+2.0991999655961990e-02;+1.7791999503970146e-02;+1.7567999660968781e-02;+2.2975999861955643e-02;+1.7055999487638474e-02
1100;+2.3903999477624893e-02;+1.8688000738620758e-02;+2.3615999147295952e-02;+1.9071999937295914e-02;+1.8719999119639397e-02;+2.6240000501275063e-02;+1.7664000391960144e-02
1200;+2.6016000658273697e-02;+1.9616000354290009e-02;+2.5823999196290970e-02;+2.0320000126957893e-02;+1.9680000841617584e-02;+2.8127999976277351e-02;+1.8368000164628029e-02
1300;+2.7904000133275986e-02;+2.1471999585628510e-02;+2.8127999976277351e-02;+2.1983999758958817e-02;+2.1376000717282295e-02;+3.1039999797940254e-02;+2.0896000787615776e-02
1400;+3.0944000929594040e-02;+2.3647999390959740e-02;+3.0400000512599945e-02;+2.4159999564290047e-02;+2.3455999791622162e-02;+3.3280000090599060e-02;+2.2848000749945641e-02
1500;+3.3215999603271484e-02;+2.5183999910950661e-02;+3.3440001308917999e-02;+2.6335999369621277e-02;+2.5472000241279602e-02;+4.8000000417232513e-02;+3.3472001552581787e-02
1600;+3.6416001617908478e-02;+2.7168000116944313e-02;+3.6575999110937119e-02;+2.7327999472618103e-02;+2.6976000517606735e-02;+5.0080001354217529e-02;+3.4976001828908920e-02
1700;+4.3519999831914902e-02;+3.0527999624609947e-02;+4.3584000319242477e-02;+3.1295999884605408e-02;+3.0719999223947525e-02;+5.3311999887228012e-02;+3.6671999841928482e-02
1800;+4.6656001359224319e-02;+3.3376000821590424e-02;+4.6976000070571899e-02;+3.4111998975276947e-02;+3.3312000334262848e-02;+5.6896001100540161e-02;+3.7663999944925308e-02
1900;+5.0944000482559204e-02;+3.5199999809265137e-02;+5.1135998219251633e-02;+3.5936001688241959e-02;+3.5232000052928925e-02;+5.9071999043226242e-02;+3.9712000638246536e-02
2000;+5.4111998528242111e-02;+3.6511998623609543e-02;+5.3952001035213470e-02;+3.7535998970270157e-02;+3.6768000572919846e-02;+5.9392001479864120e-02;+4.2080000042915344e-02
2100;+5.2735999226570129e-02;+3.4784000366926193e-02;+5.2639998495578766e-02;+3.4944001585245132e-02;+3.5135999321937561e-02;+6.3231997191905975e-02;+4.3903999030590057e-02
2200;+5.6255999952554703e-02;+3.6543998867273331e-02;+5.6288000196218491e-02;+3.6928001791238785e-02;+3.6543998867273331e-02;+6.8000003695487976e-02;+4.5759998261928558e-02
2300;+5.9872001409530640e-02;+3.8336001336574554e-02;+5.9999998658895493e-02;+3.8720000535249710e-02;+3.8240000605583191e-02;+7.1904003620147705e-02;+4.8000000417232513e-02
2400;+6.4319998025894165e-02;+3.9648000150918961e-02;+6.4319998025894165e-02;+4.0543999522924423e-02;+3.9935998618602753e-02;+7.6031997799873352e-02;+5.0239998847246170e-02
2500;+6.8640001118183136e-02;+4.2240001261234283e-02;+6.8544000387191772e-02;+4.2975999414920807e-02;+4.2112000286579132e-02;+8.0448001623153687e-02;+5.2191998809576035e-02
2600;+7.4592001736164093e-02;+4.7072000801563263e-02;+7.4816003441810608e-02;+4.7456000000238419e-02;+4.7200001776218414e-02;+8.6400002241134644e-02;+5.5360000580549240e-02
2700;+7.9424001276493073e-02;+4.8831999301910400e-02;+7.9456001520156860e-02;+4.9407999962568283e-02;+4.9088001251220703e-02;+9.1104000806808472e-02;+5.7503998279571533e-02
2800;+8.4352001547813416e-02;+5.1135998219251633e-02;+8.4063999354839325e-02;+5.1743999123573303e-02;+5.1295999437570572e-02;+9.5936000347137451e-02;+6.0479998588562012e-02
2900;+8.8831998407840729e-02;+5.3408000618219376e-02;+8.8735997676849365e-02;+5.4239999502897263e-02;+5.3695999085903168e-02;+1.0047999769449234e-01;+6.2976002693176270e-02
3000;+9.3599997460842133e-02;+5.6095998734235764e-02;+9.3695998191833496e-02;+5.7151999324560165e-02;+5.6095998734235764e-02;+1.0505600273609161e-01;+6.5600000321865082e-02
3100;+9.9008001387119293e-02;+5.8079998940229416e-02;+9.8623998463153839e-02;+5.8720000088214874e-02;+5.8207999914884567e-02;+1.1110399663448334e-01;+6.8608000874519348e-02
3200;+1.0457599908113480e-01;+6.0927998274564743e-02;+1.0435199737548828e-01;+6.1888001859188080e-02;+6.0672000050544739e-02;+1.1670400202274323e-01;+7.1904003620147705e-02
3300;+1.1001600325107574e-01;+6.3712000846862793e-02;+1.0982400178909302e-01;+6.4640000462532043e-02;+6.3359998166561127e-02;+1.2374400347471237e-01;+7.5520001351833344e-02
3400;+1.1609599739313126e-01;+6.6207997500896454e-02;+1.1635199934244156e-01;+6.7231997847557068e-02;+6.5952003002166748e-02;+1.2963199615478516e-01;+7.7760003507137299e-02
3500;+1.2316799908876419e-01;+6.8991996347904205e-02;+1.2249600142240524e-01;+6.9824002683162689e-02;+6.8928003311157227e-02;+1.3603200018405914e-01;+8.1119999289512634e-02
3600;+1.3504000008106232e-01;+7.6927997171878815e-02;+1.3519999384880066e-01;+7.8560002148151398e-02;+7.6959997415542603e-02;+1.4396800100803375e-01;+8.5119999945163727e-02
3700;+1.4214399456977844e-01;+8.0416001379489899e-02;+1.4220799505710602e-01;+8.2143999636173248e-02;+8.0544002354145050e-02;+1.5097600221633911e-01;+8.7999999523162842e-02
3800;+1.5087999403476715e-01;+8.3839997649192810e-02;+1.4937600493431091e-01;+8.5791997611522675e-02;+8.3679996430873871e-02;+1.5718400478363037e-01;+9.1200001537799835e-02
3900;+1.5936000645160675e-01;+8.6975999176502228e-02;+1.5769599378108978e-01;+8.7999999523162842e-02;+8.6975999176502228e-02;+1.6428799927234650e-01;+9.5232002437114716e-02
4000;+1.5593600273132324e-01;+8.9248001575469971e-02;+1.5603199601173401e-01;+8.6079999804496765e-02;+8.8607996702194214e-02;+1.7039999365806580e-01;+9.9264003336429596e-02
4100;+1.6412800550460815e-01;+9.3855999410152435e-02;+1.6419200599193573e-01;+9.0048000216484070e-02;+9.3727998435497284e-02;+1.7897599935531616e-01;+1.0262399911880493e-01
4200;+1.7155200242996216e-01;+9.6192002296447754e-02;+1.7171199619770050e-01;+9.2927999794483185e-02;+9.6447996795177460e-02;+1.8630400300025940e-01;+1.0662399977445602e-01
4300;+1.7987200617790222e-01;+9.7312003374099731e-02;+1.7964799702167511e-01;+9.6703998744487762e-02;+9.6799999475479126e-02;+1.9427199661731720e-01;+1.1072000116109848e-01
4400;+1.8704000115394592e-01;+1.0067199915647507e-01;+1.8684799969196320e-01;+1.0057599842548370e-01;+1.0028800368309021e-01;+2.0006400346755981e-01;+1.1353600025177002e-01
4500;+1.9507199525833130e-01;+1.0438399761915207e-01;+1.9500799477100372e-01;+1.0438399761915207e-01;+1.0428799688816071e-01;+2.0889599621295929e-01;+1.1724799871444702e-01
4600;+2.0284800231456757e-01;+1.0825599730014801e-01;+2.0272000133991241e-01;+1.0857599973678589e-01;+1.0815999656915665e-01;+2.1718400716781616e-01;+1.2310399860143661e-01
4700;+2.1231999993324280e-01;+1.1500799655914307e-01;+2.1222400665283203e-01;+1.1468800157308578e-01;+1.1494400352239609e-01;+2.2537599503993988e-01;+1.2700800597667694e-01
4800;+2.2057600319385529e-01;+1.1849600076675415e-01;+2.2015999257564545e-01;+1.1868800222873688e-01;+1.1872000247240067e-01;+2.3414400219917297e-01;+1.3167999684810638e-01
4900;+2.2892799973487854e-01;+1.2303999811410904e-01;+2.2879999876022339e-01;+1.2316799908876419e-01;+1.2316799908876419e-01;+2.4339200556278229e-01;+1.3609600067138672e-01
5000;+2.3868800699710846e-01;+1.2726399302482605e-01;+2.3811200261116028e-01;+1.2720000743865967e-01;+1.2726399302482605e-01;+2.5289601087570190e-01;+1.3967999815940857e-01
5100;+2.4662399291992188e-01;+1.3148799538612366e-01;+2.4691200256347656e-01;+1.3152000308036804e-01;+1.3132800161838531e-01;+2.6163199543952942e-01;+1.4473600685596466e-01
5200;+2.5587201118469238e-01;+1.3548800349235535e-01;+2.5564798712730408e-01;+1.3583999872207642e-01;+1.3532799482345581e-01;+2.7059200406074524e-01;+1.5059199929237366e-01
5300;+2.6393601298332214e-01;+1.3984000682830811e-01;+2.6438400149345398e-01;+1.4006400108337402e-01;+1.3984000682830811e-01;+2.7968001365661621e-01;+1.5535999834537506e-01
5400;+2.7366399765014648e-01;+1.4428800344467163e-01;+2.7337598800659180e-01;+1.4486399292945862e-01;+1.4419199526309967e-01;+2.9052799940109253e-01;+1.6096000373363495e-01
5500;+2.8316798806190491e-01;+1.4905600249767303e-01;+2.8284800052642822e-01;+1.4940799772739410e-01;+1.4892800152301788e-01;+2.9990398883819580e-01;+1.6527999937534332e-01
5600;+2.9385599493980408e-01;+1.5379199385643005e-01;+2.9382398724555969e-01;+1.5423999726772308e-01;+1.5356799960136414e-01;+3.0838400125503540e-01;+1.6991999745368958e-01
5700;+3.0623999238014221e-01;+1.6070400178432465e-01;+3.0572798848152161e-01;+1.6111999750137329e-01;+1.6124799847602844e-01;+3.1961598992347717e-01;+1.7539200186729431e-01
5800;+3.1760001182556152e-01;+1.6649599373340607e-01;+3.1715199351310730e-01;+1.6729600727558136e-01;+1.6704000532627106e-01;+3.5881599783897400e-01;+1.8745599687099457e-01
5900;+3.2790398597717285e-01;+1.7215999960899353e-01;+3.2793599367141724e-01;+1.7286400496959686e-01;+1.7315199971199036e-01;+3.6835199594497681e-01;+2.0124800503253937e-01
6000;+3.3859199285507202e-01;+1.7919999361038208e-01;+3.3891201019287109e-01;+1.7910400032997131e-01;+1.7961600422859192e-01;+3.7823998928070068e-01;+2.0656000077724457e-01
6100;+3.4880000352859497e-01;+1.8694399297237396e-01;+3.4892800450325012e-01;+1.8643200397491455e-01;+1.8592000007629395e-01;+3.9251199364662170e-01;+2.1747200191020966e-01
6200;+3.5756799578666687e-01;+1.8547199666500092e-01;+3.5763201117515564e-01;+1.8620799481868744e-01;+1.8553599715232849e-01;+4.0553599596023560e-01;+2.1833600103855133e-01
6300;+3.6841601133346558e-01;+1.9075199961662292e-01;+3.6870399117469788e-01;+1.9142399728298187e-01;+1.9088000059127808e-01;+4.0857601165771484e-01;+2.2400000691413879e-01
6400;+3.7990400195121765e-01;+1.9628800451755524e-01;+3.7968000769615173e-01;+1.9692799448966980e-01;+1.9606399536132812e-01;+4.2063999176025391e-01;+2.2931200265884399e-01
6500;+3.9075198769569397e-01;+2.0179200172424316e-01;+3.9094400405883789e-01;+2.0278400182723999e-01;+2.0220799744129181e-01;+4.2601600289344788e-01;+2.2841599583625793e-01
6600;+4.0214401483535767e-01;+2.0793600380420685e-01;+4.0252798795700073e-01;+2.0819200575351715e-01;+2.0774400234222412e-01;+4.4431999325752258e-01;+2.3315200209617615e-01
6700;+4.1539201140403748e-01;+2.1564799547195435e-01;+4.1468799114227295e-01;+2.1622399985790253e-01;+2.1545599400997162e-01;+4.5513600111007690e-01;+2.4166400730609894e-01
6800;+4.2691200971603394e-01;+2.2105599939823151e-01;+4.2697599530220032e-01;+2.2201600670814514e-01;+2.2144000232219696e-01;+4.6329599618911743e-01;+2.4499200284481049e-01
6900;+4.3887999653816223e-01;+2.2732800245285034e-01;+4.3891200423240662e-01;+2.2812800109386444e-01;+2.2735999524593353e-01;+4.7631999850273132e-01;+2.4934400618076324e-01
7000;+4.5151999592781067e-01;+2.3334400355815887e-01;+4.5110398530960083e-01;+2.3398399353027344e-01;+2.3369599878787994e-01;+4.8566401004791260e-01;+2.5587201118469238e-01
7100;+4.6425598859786987e-01;+2.3987199366092682e-01;+4.6415999531745911e-01;+2.4076800048351288e-01;+2.3971199989318848e-01;+5.0268799066543579e-01;+2.6217600703239441e-01
7200;+4.7740799188613892e-01;+2.4649600684642792e-01;+4.7718399763107300e-01;+2.4704000353813171e-01;+2.4633599817752838e-01;+5.1551997661590576e-01;+2.6815998554229736e-01
7300;+4.8991999030113220e-01;+2.5276800990104675e-01;+4.8979198932647705e-01;+2.5363200902938843e-01;+2.5177600979804993e-01;+5.2924799919128418e-01;+2.7465599775314331e-01
7400;+5.0256001949310303e-01;+2.5984001159667969e-01;+5.0275200605392456e-01;+2.6054400205612183e-01;+2.5951999425888062e-01;+5.4227197170257568e-01;+2.8028801083564758e-01
7500;+5.1587200164794922e-01;+2.6675200462341309e-01;+5.1551997661590576e-01;+2.6755198836326599e-01;+2.6671999692916870e-01;+5.5615997314453125e-01;+2.8729599714279175e-01
7600;+5.2886402606964111e-01;+2.7318400144577026e-01;+5.2867197990417480e-01;+2.7411198616027832e-01;+2.7334401011466980e-01;+5.6985598802566528e-01;+2.9580798745155334e-01
7700;+5.5763202905654907e-01;+2.8902399539947510e-01;+5.5782401561737061e-01;+2.8911998867988586e-01;+2.8883200883865356e-01;+5.8384001255035400e-01;+3.0268800258636475e-01
7800;+5.7356798648834229e-01;+2.9251199960708618e-01;+5.7302397489547729e-01;+2.9452800750732422e-01;+2.9280000925064087e-01;+5.9776002168655396e-01;+3.2719999551773071e-01
7900;+5.8883202075958252e-01;+2.9670399427413940e-01;+5.8815997838973999e-01;+2.9852798581123352e-01;+2.9692798852920532e-01;+6.1260801553726196e-01;+3.3449599146842957e-01
8000;+5.8473598957061768e-01;+3.0124801397323608e-01;+5.8492797613143921e-01;+3.0246400833129883e-01;+3.0147200822830200e-01;+6.2726402282714844e-01;+3.4361600875854492e-01
8100;+6.1644798517227173e-01;+3.2611200213432312e-01;+6.1673599481582642e-01;+3.3103999495506287e-01;+3.2559999823570251e-01;+6.4268797636032104e-01;+3.4819200634956360e-01
8200;+6.1542397737503052e-01;+3.1407999992370605e-01;+6.1516797542572021e-01;+3.1433600187301636e-01;+3.1427198648452759e-01;+6.5737599134445190e-01;+3.5593599081039429e-01
8300;+6.2982398271560669e-01;+3.2086399197578430e-01;+6.2972801923751831e-01;+3.2163199782371521e-01;+3.2089599967002869e-01;+6.7267197370529175e-01;+3.6524799466133118e-01
8400;+6.4508801698684692e-01;+3.2819199562072754e-01;+6.4521598815917969e-01;+3.2937601208686829e-01;+3.2879999279975891e-01;+6.8777602910995483e-01;+3.7212800979614258e-01
8500;+6.6025602817535400e-01;+3.3622398972511292e-01;+6.5961599349975586e-01;+3.3699199557304382e-01;+3.3593600988388062e-01;+7.0304000377655029e-01;+3.8304001092910767e-01
8600;+6.7468798160552979e-01;+3.4351998567581177e-01;+6.7475199699401855e-01;+3.4396800398826599e-01;+3.4342399239540100e-01;+7.1820801496505737e-01;+3.8870400190353394e-01
8700;+6.8950402736663818e-01;+3.5129600763320923e-01;+6.8959999084472656e-01;+3.5190400481224060e-01;+3.5123199224472046e-01;+7.3379200696945190e-01;+3.9798399806022644e-01
8800;+7.0623999834060669e-01;+3.5987201333045959e-01;+7.0611202716827393e-01;+3.6038398742675781e-01;+3.5984000563621521e-01;+7.5011199712753296e-01;+4.0508800745010376e-01
8900;+7.2166401147842407e-01;+3.6806398630142212e-01;+7.2150397300720215e-01;+3.6889600753784180e-01;+3.6780801415443420e-01;+7.6495999097824097e-01;+4.1356799006462097e-01
9000;+7.3785597085952759e-01;+3.7648001313209534e-01;+7.3795199394226074e-01;+3.7696000933647156e-01;+3.7622401118278503e-01;+7.8217601776123047e-01;+4.1974401473999023e-01
9100;+7.5452798604965210e-01;+3.8470399379730225e-01;+7.5436800718307495e-01;+3.8560000061988831e-01;+3.8460800051689148e-01;+7.9875200986862183e-01;+4.5894399285316467e-01
9200;+7.7091199159622192e-01;+3.9238399267196655e-01;+7.7068799734115601e-01;+3.9369601011276245e-01;+3.9302399754524231e-01;+8.1510400772094727e-01;+4.4751998782157898e-01
9300;+7.8832000494003296e-01;+4.0064001083374023e-01;+7.8767997026443481e-01;+4.0147200226783752e-01;+4.0057599544525146e-01;+8.3286398649215698e-01;+4.4697600603103638e-01
9400;+8.0368000268936157e-01;+4.0918400883674622e-01;+8.0419200658798218e-01;+4.0992000699043274e-01;+4.0905600786209106e-01;+8.4931200742721558e-01;+4.5699200034141541e-01
9500;+8.2038402557373047e-01;+4.1785600781440735e-01;+8.2006400823593140e-01;+4.1859200596809387e-01;+4.1756799817085266e-01;+8.6681598424911499e-01;+4.6364799141883850e-01
9600;+8.3699202537536621e-01;+4.2598399519920349e-01;+8.3731198310852051e-01;+4.2684799432754517e-01;+4.2582398653030396e-01;+8.8374400138854980e-01;+4.7433599829673767e-01
9700;+8.5484802722930908e-01;+4.3436801433563232e-01;+8.5439997911453247e-01;+4.3513599038124084e-01;+4.3411201238632202e-01;+9.0140801668167114e-01;+4.8412799835205078e-01
9800;+8.7551999092102051e-01;+4.4531199336051941e-01;+8.7503999471664429e-01;+4.4607999920845032e-01;+4.4518399238586426e-01;+9.1964799165725708e-01;+4.9385601282119751e-01
9900;+8.9452797174453735e-01;+4.5440000295639038e-01;+8.9462399482727051e-01;+4.5510399341583252e-01;+4.5436799526214600e-01;+9.3743997812271118e-01;+5.0054401159286499e-01
10000;+9.1180801391601562e-01;+4.6265599131584167e-01;+9.1174399852752686e-01;+4.6348801255226135e-01;+4.6262401342391968e-01;+9.5532798767089844e-01;+5.1036798954010010e-01
10100;+9.3030399084091187e-01;+4.7145599126815796e-01;+9.3007999658584595e-01;+4.7267198562622070e-01;+4.7107198834419250e-01;+9.7353601455688477e-01;+5.2086400985717773e-01
10200;+9.4876801967620850e-01;+4.8163199424743652e-01;+9.4851201772689819e-01;+4.8198398947715759e-01;+4.8163199424743652e-01;+9.9247997999191284e-01;+5.2921599149703979e-01
10300;+9.6275198459625244e-01;+4.8780798912048340e-01;+9.6278399229049683e-01;+4.8876801133155823e-01;+4.8803201317787170e-01;+1.0114560127258301e+00;+5.4124802350997925e-01
10400;+9.8070400953292847e-01;+4.9651199579238892e-01;+9.8054397106170654e-01;+4.9731200933456421e-01;+4.9660798907279968e-01;+1.0314240455627441e+00;+5.4627197980880737e-01
10500;+9.9945598840713501e-01;+5.0524801015853882e-01;+9.9961602687835693e-01;+5.0716799497604370e-01;+5.0576001405715942e-01;+1.0506559610366821e+00;+5.6070399284362793e-01
10600;+1.0191359519958496e+00;+5.1484799385070801e-01;+1.0186879634857178e+00;+5.1603198051452637e-01;+5.1494401693344116e-01;+1.0696959495544434e+00;+5.7017600536346436e-01
10700;+1.0380159616470337e+00;+5.2486401796340942e-01;+1.0384000539779663e+00;+5.2604800462722778e-01;+5.2457600831985474e-01;+1.0900479555130005e+00;+5.8016002178192139e-01
10800;+1.0574719905853271e+00;+5.3494399785995483e-01;+1.0584319829940796e+00;+5.3654402494430542e-01;+5.3465598821640015e-01;+1.1089600324630737e+00;+5.9020799398422241e-01
10900;+1.0774079561233521e+00;+5.4425597190856934e-01;+1.0775359869003296e+00;+5.4592001438140869e-01;+5.4419201612472534e-01;+1.1283520460128784e+00;+5.7855999469757080e-01
11000;+1.0967359542846680e+00;+5.5446398258209229e-01;+1.0960639715194702e+00;+5.5529600381851196e-01;+5.5401599407196045e-01;+1.1482239961624146e+00;+5.8828800916671753e-01
11100;+1.1162240505218506e+00;+5.6480002403259277e-01;+1.1156799793243408e+00;+5.6591999530792236e-01;+5.6432002782821655e-01;+1.1679999828338623e+00;+6.0073602199554443e-01
11200;+1.1354559659957886e+00;+5.7468801736831665e-01;+1.1360000371932983e+00;+5.7612800598144531e-01;+5.7488000392913818e-01;+1.1884800195693970e+00;+6.0934400558471680e-01
11300;+1.1558719873428345e+00;+5.8515197038650513e-01;+1.1554239988327026e+00;+5.8691197633743286e-01;+5.8515197038650513e-01;+1.2094080448150635e+00;+6.2118399143218994e-01
11400;+1.1755520105361938e+00;+5.9516799449920654e-01;+1.1757119894027710e+00;+5.9699201583862305e-01;+5.9542399644851685e-01;+1.2301759719848633e+00;+6.2841600179672241e-01
11500;+1.1963520050048828e+00;+6.0556799173355103e-01;+1.1955840587615967e+00;+6.0736000537872314e-01;+6.0553598403930664e-01;+1.2510080337524414e+00;+6.5475201606750488e-01
11600;+1.2170879840850830e+00;+6.1596798896789551e-01;+1.2171200513839722e+00;+6.1833602190017700e-01;+6.1587202548980713e-01;+1.2730879783630371e+00;+6.6393601894378662e-01
11700;+1.2386560440063477e+00;+6.2694400548934937e-01;+1.2379839420318604e+00;+6.2956798076629639e-01;+6.2716799974441528e-01;+1.2948479652404785e+00;+6.7401599884033203e-01
11800;+1.2655040025711060e+00;+6.3894397020339966e-01;+1.2643519639968872e+00;+6.4095997810363770e-01;+6.3855999708175659e-01;+1.3153920173645020e+00;+6.8281602859497070e-01
11900;+1.2877119779586792e+00;+6.5135997533798218e-01;+1.2875519990921021e+00;+6.5302401781082153e-01;+6.5107202529907227e-01;+1.3355519771575928e+00;+6.8713599443435669e-01
12000;+1.3027520179748535e+00;+6.6000002622604370e-01;+1.3024959564208984e+00;+6.6108798980712891e-01;+6.5990400314331055e-01;+1.3456319570541382e+00;+7.0175999402999878e-01
12100;+1.3316800594329834e+00;+6.7119997739791870e-01;+1.3308479785919189e+00;+6.7308801412582397e-01;+6.7142397165298462e-01;+1.3701440095901489e+00;+7.1004801988601685e-01
12200;+1.3540159463882446e+00;+6.8281602859497070e-01;+1.3528640270233154e+00;+6.8396800756454468e-01;+6.8262398242950439e-01;+1.3881280422210693e+00;+7.2217601537704468e-01
